"id","site","is_remote_flag","work_from_home_type","emails","job_url","title","company","location","date_posted","job_type","is_remote","job_level","company_url","skills","experience_range","company_rating","company_reviews_count","vacancy_count","scrape_timestamp","job_url_direct","description","salary_source","interval","min_amount","max_amount","currency","job_function","listing_type","company_industry","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"li-4427183315","linkedin","Onsite/Hybrid","","","https://www.linkedin.com/jobs/view/4427183315","DevOps Engineer","ValueFirst","Gurugram, Haryana, India","2026-06-11","",False,"","https://in.linkedin.com/company/valuefirstglobal","","","","","","2026-06-11 07:33:43","","","","","","","","","","","","","","","",""
"li-4427174845","linkedin","Onsite/Hybrid","","","https://www.linkedin.com/jobs/view/4427174845","Senior Site Reliability Engineer","Snapmint","Gurugram, Haryana, India","2026-06-11","",False,"","https://in.linkedin.com/company/snapmintfinserv","","","","","","2026-06-11 07:33:43","","","","","","","","","","","","","","","",""
"li-4423195928","linkedin","Onsite/Hybrid","","","https://www.linkedin.com/jobs/view/4423195928","AWS Cloud DevOps Engineer","Creyente Infotech","Hyderabad, Telangana, India","2026-06-11","",False,"","https://in.linkedin.com/company/creyente-infotech","","","","","","2026-06-11 07:33:43","","","","","","","","","","","","","","","",""
"li-4427169547","linkedin","Onsite/Hybrid","","","https://www.linkedin.com/jobs/view/4427169547","DevOps Engineer","Tata Consultancy Services","Hyderabad, Telangana, India","2026-06-11","",False,"","https://in.linkedin.com/company/tata-consultancy-services","","","","","","2026-06-11 07:33:43","","","","","","","","","","","","","","","",""
"li-4426209747","linkedin","Onsite/Hybrid","","","https://www.linkedin.com/jobs/view/4426209747","DevOps Engineer","L&T Technology Services","Bengaluru, Karnataka, India","2026-06-11","",False,"","https://in.linkedin.com/company/l&t-technology-services-limited","","","","","","2026-06-11 07:33:43","","","","","","","","","","","","","","","",""
"li-4423609930","linkedin","Onsite/Hybrid","","","https://www.linkedin.com/jobs/view/4423609930","DevOps Senior Engineer","Tata Consultancy Services","Bengaluru, Karnataka, India","2026-06-11","",False,"","https://in.linkedin.com/company/tata-consultancy-services","","","","","","2026-06-11 07:33:43","","","","","","","","","","","","","","","",""
"li-4423613794","linkedin","Onsite/Hybrid","","","https://www.linkedin.com/jobs/view/4423613794","Staff Engineer - NOC Services Automation","ChargePoint","Bengaluru, Karnataka, India","2026-06-11","",False,"","https://www.linkedin.com/company/chargepoint","","","","","","2026-06-11 07:33:43","","","","","","","","","","","","","","","",""
"li-4423620116","linkedin","Onsite/Hybrid","","","https://www.linkedin.com/jobs/view/4423620116","Performance Engineer","Fidelity Investments","Bengaluru East, Karnataka, India","2026-06-11","",False,"","https://www.linkedin.com/company/fidelity-investments","","","","","","2026-06-11 07:33:43","","","","","","","","","","","","","","","",""
"li-4423612754","linkedin","Onsite/Hybrid","","","https://www.linkedin.com/jobs/view/4423612754","Senior Platform DevOps Engineer, Data and Analytics Platform","KONE","Pune Division, Maharashtra, India","2026-06-11","",False,"","https://fi.linkedin.com/company/kone","","","","","","2026-06-11 07:33:43","","","","","","","","","","","","","","","",""
"li-4427165822","linkedin","Onsite/Hybrid","","","https://www.linkedin.com/jobs/view/4427165822","DevOps Lead","Avigna.AI","","2026-06-11","",False,"","https://in.linkedin.com/company/avigna-ai","","","","","","2026-06-11 07:33:43","","","","","","","","","","","","","","","",""
